Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
12/22/2021,6635,6790.75,6623.799805,6771.200195,6746.634766,1267898
12/21/2021,6725.149902,6750,6540,6577.549805,6553.687012,1375591
12/20/2021,6850,6864.850098,6492.600098,6634.149902,6610.082031,2226319
12/17/2021,7000,7025,6865,6901.100098,6876.063477,1680511
12/16/2021,6945,7063.450195,6932.899902,7028.850098,7003.350098,1768318
12/15/2021,7072.5,7072.5,6831,6847.25,6822.408691,1817528
12/14/2021,7180,7180,7035,7065.899902,7040.265625,1276481
12/13/2021,7470,7477,7199,7218.75,7192.561035,1298599
12/10/2021,7374,7467,7360,7452.5,7425.462891,679145
12/9/2021,7400,7468.100098,7337,7440.299805,7413.307129,1076950
12/8/2021,7120,7386.350098,7120,7361.5,7334.793457,1402691
12/7/2021,7048,7170,6958,7103.149902,7077.380371,1079608
12/6/2021,7069.25,7095.899902,6938.100098,6951.75,6926.529785,858253
12/3/2021,7160,7233.799805,7055,7069.25,7043.603516,816411
12/2/2021,7090,7210,7022.399902,7180.5,7154.449707,847704
12/1/2021,7032.200195,7107.700195,6951,7038.700195,7013.164551,1136768
11/30/2021,6910,7199.799805,6849.25,6997.25,6971.864746,2195539
11/29/2021,6767,6980,6678.299805,6905.75,6880.696777,1491815
11/26/2021,7021,7047.899902,6775,6807.049805,6782.354492,1689082
11/25/2021,7150,7205,7086.799805,7125.799805,7099.948242,615486
11/24/2021,7160,7319.799805,7066,7177.299805,7151.26123,1099380
11/23/2021,7000,7178,6924.100098,7114.299805,7088.489746,1187589
11/22/2021,7492,7514.5,6990.049805,7058.299805,7032.692871,1935243
11/18/2021,7620,7697.700195,7440,7484.950195,7457.79541,772539
11/17/2021,7528,7692,7521.25,7607.649902,7580.050293,645574
11/16/2021,7525,7650,7500.75,7555.700195,7528.289063,598049
11/15/2021,7579,7627.450195,7490,7534.25,7506.916504,402518
11/12/2021,7500,7600.25,7453,7579.100098,7551.604004,497128
11/11/2021,7570.200195,7600.950195,7410,7452.700195,7425.662598,634400
